                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x76e4cfb91010, 2000000 allocated for zone
Using /home/jp/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/jp/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
        You may need to run the program as root in order
        to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-08 10:38:41 Episode: 1 Map: 5
timestamp        tic     x       y       z       angle   momx    momy
2025-11-08 10:41:14      5398    -252   354     64       43.15   0      0       0
2025-11-08 10:41:15      5433    -167   431     64       357.85  10     4       4
2025-11-08 10:41:16      5468    -163   430     64       138.30  0      1       4
2025-11-08 10:41:17      5503    -145   429     64       86.75   -1     0       4
2025-11-08 10:41:19      5545    -148   429     176      214.72  -4     -3      4
2025-11-08 10:41:20      5580    -145   346     115      95.89   0      -2      0
2025-11-08 10:41:21      5615    -230   367     64       64.12   -1     -1      0
2025-11-08 10:41:22      5650    -210   377     64       88.95   0      4       0
2025-11-08 10:41:23      5685    -222   431     64       87.89   0      0       4
2025-11-08 10:41:24      5720    -214   431     64       87.89   0      0       4
2025-11-08 10:41:25      5755    -153   429     68       39.99   0      -3      4
2025-11-08 10:41:26      5790    -208   437     200      68.69   0      1       4
2025-11-08 10:41:27      5825    -182   452     200      51.94   4      4       0
2025-11-08 10:41:28      5860    -99    518     200      223.68  3      2       0
2025-11-08 10:41:29      5895    -113   511     200      240.51  -2     -5      0
2025-11-08 10:41:30      5930    -133   527     200      303.22  -2     0       0
2025-11-08 10:41:31      5965    -183   527     200      280.42  -1     0       0
2025-11-08 10:41:32      6000    -240   517     200      349.19  0      0       0
2025-11-08 10:41:33      6035    -239   526     200      297.95  0      -1      0
2025-11-08 10:41:34      6070    -174   386     146      272.15  2      -5      4
2025-11-08 10:41:35      6105    -155   367     64       258.84  -2     -7      0
2025-11-08 10:41:36      6140    -210   284     56       355.83  2      0       0
2025-11-08 10:41:37      6175    2      285     48       107.93  1      1       0
2025-11-08 10:41:38      6210    -22    477     48       104.33  -3     13      0
2025-11-08 10:41:39      6245    57     918     24       83.72   -2     3       0
2025-11-08 10:41:40      6280    48     943     24       123.84  -1     8       0
2025-11-08 10:41:41      6315    33     943     24       184.26  -7     -1      0
2025-11-08 10:41:42      6350    -96    736     24       292.41  0      -14     0
2025-11-08 10:41:43      6385    255    651     24       11.38   15     2       0
2025-11-08 10:41:44      6420    809    714     24       20.21   15     4       0
2025-11-08 10:41:45      6462    816    735     24       355.52  0      0       0
2025-11-08 10:41:46      6497    879    725     24       22.28   11     0       0
2025-11-08 10:41:47      6532    1346   929     136      15.69   14     5       0
2025-11-08 10:41:48      6567    1551   880     136      322.34  1      -2      0
2025-11-08 10:41:49      6602    1526   524     232      263.32  -2     -15     0
