Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
	You may need to run the program as root in order
	to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 18:52:11 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-10 18:58:41	 9861	 1265	-3228	-16	 171.91	 -7	-4 	0
2025-11-10 18:58:42	 9896	 1000	-3261	-16	 182.46	 -9	-1 	0
2025-11-10 18:58:43	 9931	 749	-3248	0	 184.22	 -1	0 	0
2025-11-10 18:58:44	 9966	 718	-3344	0	 279.14	 0	-1 	0
2025-11-10 18:58:45	 10001	 825	-3510	0	 321.33	 5	-6 	0
2025-11-10 18:58:46	 10036	 1023	-3632	0	 314.30	 4	-1 	0
2025-11-10 18:58:47	 10071	 1071	-3664	0	 263.32	 -1	-1 	0
2025-11-10 18:58:48	 10109	 1072	-3630	0	 217.62	 1	2 	0
2025-11-10 18:58:49	 10144	 1112	-3581	0	 217.62	 -3	-2 	0
2025-11-10 18:58:50	 10179	 1242	-3480	0	 217.62	 6	4 	0
2025-11-10 18:58:51	 10214	 1314	-3412	0	 268.59	 -2	-5 	0
2025-11-10 18:58:52	 10249	 1300	-3509	0	 231.68	 -1	-1 	0
2025-11-10 18:58:53	 10284	 1301	-3491	0	 222.89	 -5	-3 	0
2025-11-10 18:58:54	 10319	 1195	-3523	0	 345.94	 -2	1 	0
2025-11-10 18:58:55	 10354	 1327	-3449	0	 54.49	 0	3 	0
2025-11-10 18:58:56	 10389	 1264	-3367	0	 310.78	 -1	-1 	0
2025-11-10 18:58:57	 10424	 1276	-3536	0	 217.62	 -3	-1 	0
2025-11-10 18:58:58	 10459	 1068	-3606	0	 228.16	 -7	-5 	0
2025-11-10 18:58:59	 10494	 1052	-3642	0	 280.90	 2	-4 	0
2025-11-10 18:59:00	 10529	 1040	-3663	0	 157.85	 -1	0 	0
2025-11-10 18:59:01	 10564	 1030	-3591	0	 119.18	 -1	-1 	0
2025-11-10 18:59:02	 10599	 859	-3483	0	 143.79	 -7	4 	0
2025-11-10 18:59:03	 10634	 687	-3268	0	 161.37	 -6	5 	0
2025-11-10 18:59:04	 10669	 490	-3181	-8	 147.30	 -6	2 	0
2025-11-10 18:59:05	 10704	 336	-3084	-8	 122.70	 -1	4 	0
2025-11-10 18:59:06	 10739	 255	-3047	-8	 245.74	 -3	-2 	0
2025-11-10 18:59:07	 10774	 239	-3068	-8	 319.57	 0	-2 	0
2025-11-10 18:59:08	 10809	 239	-3125	-8	 52.73	 0	-1 	0
2025-11-10 18:59:10	 10857	 249	-3028	-8	 328.36	 3	-2 	0
2025-11-10 18:59:11	 10892	 303	-3056	-8	 247.50	 0	1 	0
2025-11-10 18:59:12	 10927	 315	-3027	-8	 247.50	 0	0 	0
2025-11-10 18:59:13	 10994	 304	-3055	-8	 256.29	 -1	-1 	0
2025-11-10 18:59:15	 11053	 352	-3065	-8	 296.72	 3	-4 	0
2025-11-10 18:59:16	 11088	 488	-3276	-8	 317.81	 5	-7 	0
2025-11-10 18:59:17	 11123	 495	-3282	-8	 3.52	 8	0 	0
2025-11-10 18:59:18	 11158	 758	-3276	0	 316.05	 6	-4 	0
2025-11-10 18:59:19	 11193	 908	-3477	0	 294.96	 3	-8 	0
2025-11-10 18:59:20	 11228	 1034	-3632	0	 242.23	 -1	-1 	0
2025-11-10 18:59:21	 11263	 987	-3632	0	 294.96	 1	-1 	0
2025-11-10 18:59:22	 11298	 1026	-3632	0	 231.68	 -3	-1 	0
2025-11-10 18:59:23	 11333	 1036	-3632	0	 319.57	 4	-1 	0
2025-11-10 18:59:24	 11368	 1040	-3664	0	 247.50	 -1	-1 	0
2025-11-10 19:00:01	 11645	 1040	-3664	0	 252.11	 -1	0 	0
2025-11-10 19:00:22	 12345	 1042	-3655	0	 270.09	 0	0 	0

